row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,",,,, a 4","aousigiamo 31441132,1y","m !:.,","0,...,0,9R 0. 2 m","2 mm,mm",",mo , :v.,)",.m,o 2
,,tromoop 2appley,,"RF.g c-V.g'' .2-1""',:""'",. R2n..92,"4""""""= """,' .-11E1,2 m
,-podoi amp -etuzawl 2unpuay,-podoi amp -etuzawl 2unpuay,,owomR o.mo.,", : i L-,..t 2 ,m",". ' l om, ,F4",",:.--",c••■
,2upe g q mpg,2upe g q mpg,"""","2,74,c 2,2","7701"".16"".","ie.iz'807; =;',PP gg.'",2P,P
"loP9socNIPson21140,1,","loP9socNIPson21140,1,","loP9socNIPson21140,1,","""",2sRAn,"n' ,32.7.'","2C:,!.""=.4 ,7:22,15g","2,"".",g
,"3 0 o p P I P ""4 ...,?,",aotrultdmoo,,".C.- - 4 , ,","N.m,-,",".-1,--,--t N .,",,N'
,..f. ' 0 ..,Posslarsla,,N,,,N,st
,":5 ft 0 d .1',/ -82 <9 , = , 84 g A , 4,","B.., eoweadmoo",,N.N CO,".,","'-'"" .",",--1",N
,M4 ',110130101AON,,,",--,",,,N
,rano ol,"opmft po.uoisueid,",,,,,,m
,,....pqRm.,,Cl o,Co,m . m.,"Cl ,..",g
,,passluma 214,,..) .0m.n ..,", MM",". N M Co.-) ,..4","CO.',",o . co
,- ...4 - 'g 1,"-1,30,4 Intl,' 2111 -.113011 0.10,JOU",,"-.0o Co .m ,-I","0 0 . ...,",...mm m.m,co,"m N tg,"
,".., 0 P- .","sopuabs .101140 01 poinjsumj,",",-1",.mNtOt-,"m NN ,s, .","tt ,.., CO NON. st",,Oi
,,"u.,,,,,,A,",-4,?0-82 gti. ..,W.L. ' g 22,"il.2.&32,e, !.""P.","7' &;,",.-8
,A-g E 8 pesspusia,,,"r.. 2 m. '-""R""",".7... ""4g?2","2K@PR F,2""Z",2-1,"3 ""."
,al P 0 M 9 S,,,Har;i8,"20PS*, 28F' m","9 4 P;',7.182 .,.",nR,a
,"133 l,, ogm ""ffiR a.- V''",". NAI""u/s1M""M .","N E.""0 "" ,- "" -7",mmN 212;- .5 i gggi .,"4 .-4.2g14 mm,-1-.. k :g;Fig","Nc ..7 7c9 . 4r9 nr - v....m Ift- ,:g 'c& .","onn 1°-28 mmmm.-.. mv g;;;',7F41; g ,-,' .",C•I' c';' o• 'i Co
,,laquinx,0,"2-4,5 m,,-.■crm ..","21,44§,7 . , n-';s4 .N m mc q","p?s ,g ; m,,N m,-,mm","F ,-.","' .2, N M"
"CD o . E 1 P%fi , A ..7,..73P •r• Rq3° i P, ' 43g -'i4","CD o . E 1 P%fi , A ..7,..73P •r• Rq3° i P, ' 43g -'i4","CD o . E 1 P%fi , A ..7,..73P •r• Rq3° i P, ' 43g -'i4","CD o . E 1 P%fi , A ..7,..73P •r• Rq3° i P, ' 43g -'i4","CD o . E 1 P%fi , A ..7,..73P •r• Rq3° i P, ' 43g -'i4","CD o . E 1 P%fi , A ..7,..73P •r• Rq3° i P, ' 43g -'i4","CD o . E 1 P%fi , A ..7,..73P •r• Rq3° i P, ' 43g -'i4","CD o . E 1 P%fi , A ..7,..73P •r• Rq3° i P, ' 43g -'i4","CD o . E 1 P%fi , A ..7,..73P •r• Rq3° i P, ' 43g -'i4"
