row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation election&__ _,178,100 0,84,47.2,94,52 8,67,37.6
By type of case:,,,,,,,,
RC cases,171,100 0,81,47.4,90,52 6,65,380
EM cases,1,100 0,o,,1,100 0,0,
RD cases,6,100 0,3,500,3,500,2,333
By type of election,,,,,,,,
Consent elections,8,100 0,5,62 5,3,37 5.,4,500
Stipulated elections,128,100 0,40,31 3,88,687,50,39 1
Expedited elections,0,,0,,0,,0,
Regional director-dhected elec- tions,39,100 0,10,256,29,74 4,12,308
Board-directed elections,3,100 0,1,333,2,667,1,333
