row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
Under Sec. 10(e) total,1,0,1,1,1,0,0,0,0
,Total pro-,,,Total dis- positions,,,,,
,ceedings,"Injunction Pending in District Court Oct. 01, 2004",proceedings Filed in District Court fiscal year 2005 1,,Granted,Disposition Denied,injunctions Settled,Withdrawn,"Pending in District Court Sept. 30, 2005"
Under Sec. 10(j) total,9,0,9,7,4,1,2,0,2
8(a)(1)(3),1,0,1,1,1,0,0,0,0
8(a)(1)(3)(5),4,0,5,4,3,0,1,0,1
8(a)(1)(5),3,0,3,2,0,1,1,0,1
Under Sec. 10(l) total,5,1,4,5,3,1,1,0,0
8(b)(4)(B),4,1,3,4,3,1,0,0,0
8(b)(7)(C),1,0,1,1,0,0,1,0,0
