row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
14-CC-78___,"AFL-Meat Cutters, Local 585 (Daniel Grocer Co)","Aug. 19, 1955",10 (1),,,(2),,"Dec. 20,1955",Settled.
2-CC-357___,AFL-Machinists and Lodge 1903 (Fly-,"Aug. 22, 1955",10 (1),,,(2) : ',,",Feb. 1,1956",Withdrawn.
13-CC-110_ _,"ing Tigers Line, Ins). AFL-Engineers, Operating, Local 139 and CIO-Auto Workers and Local 833","Aug. 23,1955",10 (1),,,- (2),,,"'Aug. 30, 1955 ."
18-CC-32,"et al. (Paper Makers Importing Co). AFL-Teamsters, Locals 827, 120 (Seeger.","Aug. 24,1955",'10 (1) 1,,,"r, , ' (2)",,"Sept. 14,1955",Withdrawn.
8-CC-37,"Refrigerator Co ). AFL-Teamsters, Local 20 (National Cement Products Co)","Sept. 7,1955",40 ( 1),,,1 2),,,"May 10, 1956."
14-CC-85_ _ _,"AFL-Teamsters, Local 618 (Mars Oil","Sept 13,1955",10 (I),,,( 1 (2),,"Mar. 1,1956",Settled.
2-CC-355,"Co ). AFL-Teamsters, Local 338 (Crowley's","Sept. 15,1955",10 (1),,,,"Nov. 15, 1955",,
2-00-350_ _ _,"Milk Co ). AFL-Teamsters, Local 810 (Fireproof","Sept 20, 1955",10 (I),,,(2),,,Settled .
"5-CC-113, 114.","Products Co., Ins) AFL-Sheet Metal Workers, Local 12 (Felhelm Heating & Roofing Co and II. Platt Go)","Oct. 6, 1955",10 (I),,,(2),,"Dec. 20,1955 ,","Nov. 2, 1955."
11-CC-9___ _,"AFL-Sheet Metal Workers, Local 51","Oct 11,1955",10 (I),,,(2),,"May 21, 1956","Apr. 27, 1956."
"2-00-362, 363.","(W. 11 Arthur Co.) AFL-Teamsters, Locals 976, 277 and Joint Council No. 67 (Cache Valley Dairy Association and Dairy Distribu- tors, Inc ).","Oct. 13,1955",10 (I),,,", (in part) ' Jan. 17, 1956",,,"Dec. 16, 1955 (Local 277 only)."
17-C C-39_ _ _,"AFL-Machinists, District Lodge 71 (R L. Faubion Co.).","Oct 17, 1955",10 (1),,,(2),,"Mar. 20, 1956",Withdrawn.
1-00-358 and 2-CD-114,"AFL-Engineers, Operating Local 138 and AFL-Teamsters, Local 282, and John Cody et al. (Long Island Light- ing Co.).","Oct 18,1955",10 0),,,(2),,,"Apr. 17, 1956, as to Cody and Local 282."
I7-CC-38. -,"AFL-Teamsters, Local 659, and AFL- Hod Carriers, Local 1140 (Associated General Contractors of Omaha).","Oct 20,1955",10 (1),,,(2),,,
"361 --.CC-360 364., ,","Local 560, and AFL- Jewelry Workers, Industrial Prod {AFL-Teamsters, and Novelty Workers, Local 21 (Swift Package Co , et al )","Oct. 21, 1955",10 (1),,,"ct Ott. 3L 31,1955 560 (consent) Nov. 1,1 Local 21 955",,"Ian. 19,1956","Dec. 28, 1955."
"10-CC-131_ _ AFL-Teamsters, Truck Drivers and Helpers, Local 728 (Empire State","10-CC-131_ _ AFL-Teamsters, Truck Drivers and Helpers, Local 728 (Empire State","Oct. 24,1955",10 0),,,"' Nov. 3,1955",_ ..... ... _.,,
"1 1.-CC-132,_ _","Express, Inc ). CIO-Packinghouse Workers, Local 11 et al. (Interstate Beef Co.).","Oct 26, 1955",10 (1),,_ _ _.,(9,,"Feb. 8,1956 - -","Settled,"
