row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
,",...s 9 ,M.",g,c4t8sm,,"c ,Kt,",". ,.","- ,or.,0C40",gP-J,gP-J
". ,","- 01,7.■0,",,".■ ,i ,..mm.",K,8..7.,W,MN.000,,"E ,-.5 52- R, a2 Qg m, s' m, m. Vn N"
.,"00,-0,0.,",,woro,m,.0.,,"om,-000",10,"E ,-.5 52- R, a2 Qg m, s' m, m. Vn N"
",","0,.00,.>m,-",5,",-.,.-,..",0,,to,.-0-000,"',4-'' A","E ,-.5 52- R, a2 Qg m, s' m, m. Vn N"
0,0000000,,0000-,0,000,0,000000,"dR m, W","E ,-.5 52- R, a2 Qg m, s' m, m. Vn N"
to,00000--,",.","oo,-00",",,",-ow,".""",I.■• 0 0 . . 0,"g.,5R g","E ,-.5 52- R, a2 Qg m, s' m, m. Vn N"
.,"..m00,,m.",E',2t1:3t,--1,1:3-',2,,"3-jgg.2, W4FT.gu","3-jgg.2, W4FT.gu"
to co,".:-.- to-.-.1,1,-","w -a,","t.,.-■-p polnol,",to,",, ,-. 1-..,.1. ... ..-",,Mos30,"g-L's,, <,..ce.2 co .,","g-L's,, <,..ce.2 co .,"
tv,_.-_.-,,m --,"w r,",T',,0 '70',Ilk,Ilk
,"EgttoLle,",to R 0,"_.- MNwW,",,"A .-. ,",@,"sota3 -.....m,","?,'",< m c+ 2
0,",,,-, : i 'E.",- 91,ME19,E3,.. E '.0,,'AL.,- (.-) .1 EcT,< m c+ 2
,"M?..F"" :,S5",2,"5-,1=.3t2",N,Oiss,". 4,",.5E000,,< m c+ 2
.,0000000,0.8,oSo om,,"',:. 00,",0,000000,"gRR m5g gP:,",< m c+ 2
t,000.025,K,0V4 i .o,E,"4.-:. ..,,R",,",40,8,000","§6.9 On= E"".",< m c+ 2
"2-- F,",g 22.EEF,E,nIgE,,EEE,",..","Wil-, -0-0-0",SgiE,SgiE
,"_ 0,'7,'KA:124",.. to R,HNH,g .,w CP z&I-2,. 2,Krgoo.,"golgEn g,gm,..... .,W,""5","golgEn g,gm,..... .,W,""5"
