row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,63,100 0,17,270,46,730,29,408
By type of case,,,,,,,,
RC cases,45,1000,13,289,32,III,23,511
RM cases,4,100 0,1,25 0,3,75 0,1,25 0
RD cases,14,100 0,3,214,11,786,5,357
By type of election,,,,,,,,
Consent elections,2,100 0,0,00,2,100 0,0,
Stipulated elections,36,1000,It,30 6,25,69 4,18,409
Expedited elections,0,,0,,0,,0,
Regional Director-directed elections,20,1000,5,250,15,750,10,500
Board-directed elections,5,100 0,1,200,4,800,1,200
