row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections____,137,100.0,47,34.3,90,657,54,394
By type of case.,,,,,,,,
RC cases,129,100.0,44,34.1,85,65 9,61,39.5
RMcases,5,100 0,3,60.0,2,400,3,600
RD cases,3,100 0,0,,3,100 0,0,
By type of election,,,,,,,,
Consent elections,7,100 0,1,143,6,857,2,28.6
Stipulated elections,95,100.0,37,38.9,58,61.1,42,44 2
Expedited elections,0,,0,,0,,0,
Regional director-directed elec- tions,33,100 0,9,27.3,24,72.7,10,303
Board-directed elections,2,100 0,0,,2,100 0,0,
