row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections ___,85,100 0,27,31 8,58,68 2,9,11 0
By type of case,,,,,,,,
RC cases,75,100 0,22,29 3,53,70 7,9,12 5
RM cases,2,100 0,2,100 0,0,,0,
RD cases,8,100 0,3,37 5,5,62 5,0,
type of election,,,,,,,,
By Consent elections,2,100 0,1,50 0,1,50 0,0,
Stipulated elections,59,100 0,21,35 6,38,64 4,7,12 5
Expedited elections,0,,0,,0,,0,
Regional director-directed elections,24,100 0,5,20 8,19,79 2,2,8 3
Board-directed elections,0,,0,,0,,0,
