row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elec- !IOU,72,100.0,23,31.9,", 49",68.1,20,27.8
By type of case,,,,,,,,
RC cases,66,100.0,23,34.8,43,65.2,18,27.3
RMcases,5,100.0,0,,5,100.0,2,40.0
RD cases,1,100.0,o,,1,100.0,0,
By type of election:,,,,,,,,
Consent elections,0,,0,,0,,0,
Stipulated elections,59,100.0,19,32.2,40,67.8,16,27.1
Expedited elections,0,,o,,0,,0,
Regional Director-directed elections,13,100.0,4,30.8,9,69.2,4,30.8
Board-directed elections,0,,0,,0,,0,
