row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elec- tions,94,100 0,31,33.0,63,. 67.0,38,404
By type of case',,,,,,,,
RC cases,83,100.0,28,33.7,55,663,33,380
RIvl cases,o,,o,,o,,o,
RD cases,11,100 0,3,27.3,8,72.7,5,45.5
By type of election:,,,,,,,,
Consent elections,1,100 0,1,100 0,0,,1,100.0
Stipulated elections,69,100 0,22,31.9,47,68.1,26,37.7
Expedited elections ..,0,,0,,0,,0,
Regional Director-directed elections,24,100.0,8,33.3,16,66.7,11,45.8
Board-directed elecdons,o,,o,,o,,o,
