row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
Totals-all types,54,51,3,27,26,1,27,25,2
NLRB-initiated actions or interventions,3,3,0,1,1,0,2,2,0
To enforce subpoena,1,1,0,1,1,0,0,0,0
To defend Board's Junsdiction,1,1,0,0,0,0,1,1,0
To prevent conflict between NLRA and Bankruptcy Code,_ 1,1,0,0,0,0,I,1,0
Action by other parties,51,48,3,26,25,1,25,23,2
To review non-final orders,2,2,0,1,1,0,1,I,0
To restrain NLRB from,24,22,2,5,5,0,19,17,2
Proceeding in R case,8,8,0,2,2,0,6,6,0
Proceeding in unfair labor practice case,16,14,2,3,3,0,13,11,2
Enforcing subpoena,0,0,0,0,0,0,0,0,0
Other,0,0,0,0,0,0,0,0,0
To compel NLRB to,25,24,I,20,19,1,5,5,0
Issue complaint,4,4,0,1,1,0,3,3,0
Take action in R case,0,0,0,0,0,0,0,0,0
Comply with Freedom of Information Act',3,2,1,2,1,1,1,1,0
Pay fees under Equal Access to Justice Act,17,17,0,17,17,0,0,0,0
Engage in rulemalung,1,1,0,0,0,0,1,1,0
Other,0,0,0,0,0,0,0,0,0
