row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
Complaints issued,279,401,361,279,401,361,,,
Notice of Hearing issued,1631,1326,1011,,,,1631,1326,1011
Hearings held I,1753,1525,1186,219,305,256,1534,1220,930
Intermediate Reports or proposed findings issued,185,252`,199,185,252,", 199",,,
Decisions Issued',1856,1754,1257,211,401,285,1645,1353,972
Decisions and Orders,139,260,173,139,260,173,,,
Decisions and Consent Orders,72,141,112,72,141,112,,,
Elections directed,1229,1036,714,,°,,1229,1036,714
Certifications or dismissals after stipulated elections,291,236,207,,,,291,236,207
Certification or dismissal on the record •,125,81,51,,,,125,81,51
