row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elec- tions,84,100.0,28,33.3,56,66.7,21,25.0
By type of case:,,,,,,,,
RC cases,71,100.0,24,33.8,47,66.2,18,25.4
RMcases,2,100.0,0,,2,100.0,0,
RD cases,11,100.0,4,36.4,7,63.6,3,27.3
By type of election:,,,,,,,,
Consent elections,0,,0,,0,,0,
Stipulated elections,63,100.0,20,31.7,43,68.3,17,30.0
Expedited elections,0,,0,,0,,0,
Regional Director-directed elections,20,100.0,8,40.0,12,60.0,4,20.0
Board-directed elections,I,100.0,0,,1,100.0,0,
