row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,28,100.0,12,42.9,16,57.1,9,32.1
By type of case:,,,,,,,,
RC cases..............................................,27,100.0,12,44.4,15,55.6,9,33.3
RMcases..............................................,0,0.0,0,0.0,0,0.0,0,0.0
RD cases..............................................,1,100.0,0,0.0,1,100.0,0,0.0
By type of election:,,,,,,,,
Consent elections..................................,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections..............................,20,100.0,7,35.0,13,65.0,5,25.0
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,8,100.0,5,62.5,3,37.5,4,50.0
Board-directed elections......................,0,0.0,0,0.0,0,0.0,0,0.0
