row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
iew England,1871,271,41,31,8,594,21,16,889
Maine,192,21,6,0,1,42,1,2,119
New Hampshire,114,17,0,0,0,38,3,1,55
Vermont,72,11,1,0,0,28,0,0,32
Massachusetts,1078,142,26,9,5,329,14,10,543
Rhode Island,134,26,2,0,0,55,1,2,48
Connecticut,281,54,6,22,2,102,2,1,92
Vliddle Atlantic,5425,902,275,76,15,1522,113,58,2464
New York,2994,533,182,43,10,843,53,30,21300
New Jersey,922,155,47,13,3,296,19,8,381
Pennsylvania,1509,214,46,20,2,383,41,20,783
