row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
- .g t g i,0,.074'..,a,C.a..,"2,.. .",".t.. . , g..",R,".../.....,",n
"g i!ON 0. 8 .., -4 E",0 .4,0..1.000,m,.N..0,0,0-MVO,M,. ..N.000,0
MD • cs:F. V 5,at 0,"m-,,v.o.o",", t1 . 1",c' . igno,,- . -C,m,000m0000,m
"2 0 0 0 V g A', aa g",g,,I,100 3AA ..,,004At...,,voNNmcmmg,g
"2 0 0 0 V g A', aa g",g,",,,,,..s,Ne00",g,"N,c1g=0","g ,..,",". 4 . , ogm4o",3,"NC-0,0.000 . V,","T.,"
"2 0 0 0 V g A', aa g",0 g,R22RRF4 - -,g,"a3a7,v,2 .7",8 co .7,8g881: .n.,R .,I WA-ARO2Rg . .. .,"',2 N"
"2 0 0 0 V g A', aa g",g,$522A4,I 8,2§A2 .,g CT,g En%,g .4,"Rcl , .. , 4E",R .7
1 8 ... M 2 • '.° 5 '2 0,"A, 0",• 0c . .N0,"C2 ,",02gm0,g,.MW4=,R,"I .,......",n
1 8 ... M 2 • '.° 5 '2 0,0 0,,,,,".1 , 0N00",t--,000N0000,
1 8 ... M 2 • '.° 5 '2 0,W 0,00.000,,0. 4 .0,A,,", c 4",0 p 000000,"c,"
1 8 ... M 2 • '.° 5 '2 0,0,..w.-. -C-,n,"-n 2 ., .",R,- 0. -.,2,",. - . C g we",04
1 8 ... M 2 • '.° 5 '2 0,0 0,,8,'an.',E,"M;f:.'2R """,g,4K7.4-- m R,g _
1 8 ... M 2 • '.° 5 '2 0,m 0,"tc.*.!2.§""W""",R,"c _24,7,- , m",R,R2E68,t2 ce,"R g Ls81; g :.-4, . .",3-
1 8 ... M 2 • '.° 5 '2 0,-4 0,"-'22""° WM , p -N",""" , L,.. .7","2g"" t• - • .. -7",OC a,RAU8 -7 .m,2' . a,NmN.v. . 'qnRpR,R m a
1 8 ... M 2 • '.° 5 '2 0,0 A <1 .,Ag28A - 7,w 6 - 7,"mo,-,m.. t. - t 429-",A at,RSISn a I,0. e,".. i8837a,",E e
"-4 c,","-4 c,",!2t'I'888 ....-- -7,"8 ..,. a","nR;E -......,- 44",; .... e,"/ 8A ""a.... a",8 . .7,"I R:-.''A ....,-. "" 4. -; -7","It ', e"
