row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
"'gtgi 7.. ,LCZ,,",U,"00,20N0",,"0,00",g,00g.0,", c- ,","000,0V00",g
". .C4A CT, <45 '",0,"c,c,O,-.00",,OWa. 0,0,NO 0 v 0,0,0 vOOMN v v,0
g i . E13 Eg0z4,a,- 0,..4,0=WOv,2,-0_c2 --,A,00.0-00,0
2 2 g ' C ' E 1 g,al cc,"R'V"" -",1,,R,°2E N t2,4 -,'.2= 0 K,2 -
2 2 g ' C ' E 1 g,1:4,001000,A,NaG--,R,... n -g,,"m.,..4'...=-N",",..,"
2 2 g ' C ' E 1 g,,gPS'-?.,g,L24E4A,!g -,L 2p2,,"2""0,7"",,--=21fl",:1'
2 2 g ' C ' E 1 g,".41, -o u",c i7epe q,P_ N,"0 4,1070'n --","' ,.2 ,n",12222 -N-,2 N,2fiflU24i1 . v v,2 M .--7
2 ..' C) 1. .. .11 .,P.. 0,MN0NNO,",11.","-.Rgc,",R,Ne..e n -..',,07■AVC.2vON0,"C.,. 0"
2 ..' C) 1. .. .11 .,8,v0v000,N,0v000 v,v v,vvN00,V,00000000,0
2 ..' C) 1. .. .11 .,t,000000,0,"0NE1,..0",a,0000,e 4,0NMN000.,0
2 ..' C) 1. .. .11 .,f: C.),"=,..Fivvo",c4,"Nn,N,00",02,CDNvC75,4,"N0,000000",",,,"
2 ..' C) 1. .. .11 .,0,-..000 Nv0 .,,"',S.:8'-N",Fl,'WC.7174,C./ ',°g€121-'-'4,4
2 ..' C) 1. .. .11 .,cc,"=;.'2',24''' v N",R V,"7.11-2' = c,,V",0,"np.1,",?,"&JIn g ,-,5 v","2 ,"
2 ..' C) 1. .. .11 .,".,4 0",PE 4 §,"P. ,_;•",G HE 4 esf,"N ,,i•",I MiN .,§ ei,UsiiESE g,§ ei-
2 ..' C) 1. .. .11 .,"u T ,",PPP -7,4 M c4,I HP -;.4,c iI 3 .-1,l'I T2 - N . v V ci4,"2 , 4","22 """"WP V, X 0 X",2 La 4
". =1, a 4 u",". =1, a 4 u",um E 8 ...7,"v ,6'","8,i.42 vMNM --,6-","2 , t-:","U5,V,'! ,v v NO c,i--;'",';4 v CC),"HipsAg 0,0",",5-"
2 0 E° g . lz 3 -o J co,2 0 E° g . lz 3 -o J co,"42 1' g, oxzcc> . E ...-, - F , C , ' C' g jE 2 t..w",". ?., 44","il C). E ,,,,7, azz45 >, w_vs-2 coc' >..c t ,t 03 0 . .4 E "" .","v C c, 50 C) 44",". E 0 0 , .ogc2A5 42453 , - V, WEet '.1 c Go",":,' C c. 50 W 44","m E4.41,7,.. .. igt=E 7t'S'Az42E1,' ›,,A 4 aL-i. gg 15 ocw .",> .. . 0 a co g
