row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,27,100.0,7,25.9,20,74.1,6,22.2
By type of case:,,,,,,,,
RC cases..............................................,23,100.0,7,30.4,16,69.6,6,26.1
RMcases..............................................,0,0.0,0,0.0,0,0.0,0,0.0
RD cases..............................................,4,100.0,0,0.0,4,100.0,0,0.0
By type of election:,,,,,,,,
Consent elections..................................,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections..............................,16,100.0,4,25.0,12,75.0,4,25.0
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,11,100.0,3,27.3,8,72.7,2,18.2
Board-directed elections......................,0,0.0,0,0.0,0,0.0,0,0.0
