row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,191,100 0,79,41.4,112,58.6,75,39 3
By type of case.,,,,,,,,
RC cases,180,100.0,75,41 7,105,58.3,72,40.0
EM cases,5,100.0,1,20.0,4,80 0,1,20.0
RD cases,6,100.0,3,50.0,3,500,2,333
By type of election,,,,,,,,
Consent elections,35,100.0,15,42.0,20,57.1,14,40.0
Stipulated elections,105,100.0,39,37.1,66,62.9,39,37.1
Expedited elections,1,100 0,0,,1,100.0,0,
Regional director- directed elections,47,100.0,23,48.9,24,51.1,22,46 8
Board-directed elections_,3,100 0,2,667,1,33.3,0,
