row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elec- tions,84,100.0,32,38.1,52,61.9,34,40.5
By type of case:,,,,,,,,
RC cases,73,100.0,27,37.0,46,63.0,30,41.1
RMcases,1,100.0,1,100.0,0,,0,
RD cases,10,100.0,4,40.0,6,60.0,4,40.0
By type of election:,,,,,,,,
Consent elections,0,,0,,0,,0,
Stipulated elections,63,100.0,22,34.9,41,65.1,26,41.3
Expedited elections,0,,0,,0,,0,
Regional Director-directed elections,21,100.0,10,47.6,11,52.4,8,38.1
Board-directed elections,0,,0,,0,,0,
