row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections .. .,56,100.0,18,32.1,38,.679,15,268
By type of case:,,,,,,,,
RC cases ..... ...... .... ..,42,100.0,14,33.3,28,66.7,10,. 23.8
RMcases,5,100.0,1,200,4,80.0,2,40.0
RD cases,9,100.0,3,33 3,6,667,3,33.3
By type of election',,,,,,,,
Consent elections,4,100.0,0,,4,100.0,0,
Stipulated elections,37,100 0,12,324,25,67.6,8,21.6
Expedited elections,0,,0,,0,,0,
Regional Director-directed elections,12,100.0,6,50.0,6,50.0,7,. 583
Board-directed elections.... ...,3,100.0,0,,3,100.0,0,
