row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,24,100.0,7,29.2,17,70.8,7,29.2
By type of case:,,,,,,,,
RC cases..............................................,22,100.0,6,27.3,16,72.7,6,27.3
RMcases..............................................,0,0.0,0,0.0,0,0.0,0,0.0
RD cases..............................................,2,100.0,1,50.0,1,50.0,1,50.0
By type of election:,,,,,,,,
Consent elections..................................,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections..............................,16,100.0,5,31.3,11,68.8,5,31.3
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,8,100.0,2,25.0,6,75.0,2,25.0
Board-directed elections......................,0,0.0,0,0.0,0,0.0,0,0.0
