row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections_ _,130,100 0,40,308,90,", 092",56,431
By type of case,,,,,,,,
RC cases,120,100 0,34,28 3,86,71 7,51,42 5
RMcases,3,100 0,1,333,2,66.7,2,66.7
RD cases,7,100 0,5,714,2,286,3,429
By type of election,,,,,,,,
Consent elections,6,100 0,3,500,3,500,3,500
Stipulated elections,96,100 0,29,302,67,698,44,458
Expedited elections,0,,0,,0,,0,
Regional director-directed elec- tions,28,100.0,8,28.6,20,71 4,9,32 1
Board-directed elections,0,,0,,0,,0,
