row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
0 oocooggoo 5 0 ..T.,c=>,0000,F,000F,0,00000000,12,",v,0",0 000
"4 cDsoc , ggo ' . 4o . d■",T2,sv4.,F,F. ..4....0,g,00000weoo,R,0,000
"., 000,000000 N ..",0,0000,0,0000,0,00000000,. 000 N N,0,000
v 00000V000 . 0 0 0,V 0,00 0m,0 .,OV0. .,0,00000000 . m,00. M,0,000
0 000000000 . 0 .. Co .,N N,NO00 0,. M,0C-00 .,Co 00000000,0 I.-,CO) CO m m,0,000
"g0.0.vMM00 1 ,ADVM . 0. 4 T2 CO -r",0 F,MVN0 0:)00 .4,Co,"F20,F4 CO",r- . .,00000.c40 0 m,0.0N Co,0,000
"CC 000.Nnm00 , 00m -. 8",. 2,.000 0.4z,"1 ... , CO",Fe.. F CO,"F.,",0000074F0 Co V,vog CO,0,000
. 0.0.0.000,0,v0.0,,.0.0,CO,00000..0,0 000 . .,0,000
0 000000000,0,0000,0,0000,0,00000000 0,000,0,000
CO 00000N000,0,0000,,000.,0 00000000,0,000,0,000
CO 000000.0.,0,0000,0,0000,0,00000000,V N..,0,000
0 0.0.N0.0.,,V..0,0,.m..,N,00000..0 V .,N.. .,0,000
