row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,36,100.0,13,36.1,23,63.9,10,27.8
By type of case:,,,,,,,,
RC cases..............................................,30,100.0,9,30.0,21,70.0,9,30.0
RMcases..............................................,0,0.0,0,0.0,0,0.0,0,0.0
RD cases..............................................,6,100.0,4,66.7,2,33.3,1,16.7
By type of election:,,,,,,,,
Consent elections..................................,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections..............................,26,100.0,8,30.8,18,69.2,6,23.1
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,10,100.0,5,50.0,5,50.0,4,40.0
Board-directed elections......................,0,0.0,0,0.0,0,0.0,0,0.0
