row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,1199,100 0,479,400,696,580,24,20
By type of case,,,,,,,,
RC cases,1081,100 0,447,41 3,619,573,15,1 4
RM cases,29,100 0,8,276,19,655,2,69
RD cases,89,100 0,24,270,58,652,7,78
By type of election,,,,,,,,
Consent elections,29,100 0,9,31 0,20,69 0,0,0 0
Stipulated elections,833,100 0,328,39 4,488,58 6,17,2 0
Expedited elections,6,100 0,1,16 7,5,83 3,0,0 0
Regional director-directed elections,326,100 0,139,42 6,181,55 5,6,1 9
Board-directed elections,5,100 0,2,40 0,2,40 0,1,20 0
