row_label,col_1,col_2,col_3,col_4,col_5
tilil`5',gensmer0 •,s,y 0,v,
p oi li gg u `,...0...N00,V,00,0,V
ill 4 8,uletr-0.-.0,W,-.0,,
1 A P ic ti,"n.t1.11-----,",z,,v,2
,iVCTMNNO,", CA",NO,N,V
,R214Q-,E,g v,g,"Ff,"
;1,"g sw.71, - -",4 ...,mv.,.6;,k
t,0Nm0m0,A,00,0,m
8,0 . 4-.000,,00,0,g
6,00N...NO,v.,00,0,V en
1 • 8,N0W01•0,M,00,0,"0 ?2,"
k i 8,vloog.-.t-o,12,00,0,s
i . U,"l p , g uist o",2 ...,R y,&,E 4
< U,F.R.0P N,a. en,E 2,1,1
,czi-vagg,,74 m,P m,'4' .
4,"§uR A R N ,i'",&I 4,P •,e,§ g
I ca l 1 1 a .,1 1 le l ! 14,4 im,ig el Ea Xf A,1 1 z 8,1 1 i 1 F -
