row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,147,100.0,56,38.1,89,60.5,2,1.4
By type of case:,,,,,,,,
RC cases...............................................,122,100.0,47,38.5,73,59.8,2,1.6
RMcases..............................................,2,100.0,1,50.0,1,50.0,0,0.0
RD cases...............................................,23,100.0,8,34.8,15,65.2,0,0.0
By type of election:,,,,,,,,
Consent elections..................................,3,100.0,0,0.0,3,100.0,0,0.0
Stipulated elections..............................,69,100.0,16,23.2,52,75.4,1,1.4
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,75,100.0,40,53.3,34,45.3,1,1.3
Board-directed elections.......................,0,0.0,0,0.0,0,0.0,0,0.0
