row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,64,100.0,17,26.6,47,73.4,28,43.8
By type of MSC:,,,,,,,,
RC cases,54,100.0,14,25.9,40,74.1,24,44.4
RM cases,4,100.0,1,25.0,3,75.0,1,25.0
RD cases,6,100.0,2,33.3,4,66.7,3,50.0
By type of election:,,,,,,,,
Consent elections,2,100.0,1,50.0,1,50.0,0,0.0
Stipulated elections,49,100.0,13,26.5,36,73.5,22,44.9
Expedited elections,0,,0,,0,,0,
Regional Director-directed elections,10,100.0,2,20.0,8,80.0,5,50.0
Board-directed elections,3,100.0,1,33.3,2,66.7,1,33.3
