row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
Total,489365,6871,100 0,2565,100 0,1487,100.0,2819,100 0
1-9,9368,1007,23 4,553,21 6,484,32 5,570,20.2
10-19,20274,1451,21.2,554,21.6,364,24 5,537,19 1
20-29,20569,857,12 5,327,12 7,173,11 6,357,12 7
30-39,18594,544,7 9,208,8 1,97,6 5,239,8 5
40-49,18997,430,62,173,68,77,52,180,6 4
50-59,16121,298,4 3,124,4 8,36,2.4,138,4 9
00-69,14409,224,3 3,96,3 8,29,1 9,99,13 5
70-79,11221,151,2 2,60,28,30,2 0,61,2.2
60-89,11380,135,2 0,50,2 0,22,1 5,63,2 2
90-99,10.754,114,1 7,36,1 4,19,1 3,59,2 1
100-149,45176,371,5 4,164,6 4,41,2 8,166,5 9
150-199,34.517,200,2 9,65,2 5,32,2 2,103,' 3 7
200-299___,49515,204,3 0,77,3 0,28,1 9,99,3 5
300-399 ------,29844,87,1 3,22,.9,16,11,49,1 7
400-499,27783,62,9,19,7,15,1 0,28,1 0
rB0-599,20214,37,.5,13,.5,2,1,22,.8
600-799,24763,37,5,12,5,4,3,21,.7
800-999,10874,19,3,2,1,5,.3,12,.4
"1,000-1,999",42490,30,4,8,3,9,6,13,.5
"2,000-2,999",12049,5,1,1,(I),3,2,1,(I)
"3,000-3,999",3337,1,(I),0,.0,0,. 0,I,(I)
"4,000-4,999",4695,1,(I),0,. 0,0,.0,1,
"5,000-9,999",8400,1,(I),0,0,1,.1,0,.0
"10,000 and over _ _",17421,1,(0,1,(I),0,.0,0,.0
