row_label,col_1,col_2,col_3,col_4,col_5
410 73,"2 00 A -,40",8,NO,,R.
-al 10 1 1,0.-.00.4.0,WI,00,0,g
Ali 115 Da0 B,m.....,R,-0,,0 -
1 8 I a g g M,ggs-.10,R,,,g
,"mr.G.,-.0",R,",..40","c.,",R
,AgREV,A _,v--,g,4
. 1,F . re gin°,i,";.""-",P,a .
b,VOl s ONO,g,00,0,1
8,CONOCO,N,CO,0,". """
d,,,,,Q
1 .8 8,sre4g0-.0,g,.- . 0,,R
1 ] 8,..p....'.,,000,,i
a 6,gror----4n o ...:,& ..7,A*,A,k =
< U,"CiR gm - """,4 1 .,R I,E .,=
U R,1:531n-,q,4 =,4,yr
q,M A E .- v . .6,7;,: . i .A,:1,R N°6
1 1 I . I,N .L. g uaao i l 1,M,", 0 el",i E = 8,"1 1 I, i le"
