row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections....,1165,103,376,32.6,750,64.9,29,2.5
By type of case:,,,,,,,,
RC cases,1076,100,.358,33.3,693,64.4,25,2.3
RM cases,49,IN),10,20.4,39,79.6,0,
RD cases.,ao,103,8,26.7,18,60.0,4,13.3
By type of election:,,,,,,,,
Consent elections,146,100,48,32.9,95,65.1,3,2.0
Stipulated elections,672,100,216,32.2,443,65.9,13,1.9
Expedited elections,6,100,1,16.7,5,83.3,,
Regional director-directed elec- tions,307,100,104,33.9,154,63.2,9,2.9
Board-directed elections,24,100,7,29.2,13,54.2,4,16.6
