row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
,"R' , 4i - N",inA .... ngRN ...,8 m. ...,"Pg'21E°P`"" 0 -am ml a -",. .. N crC,0000goso o .,oo,,m g ei 0
0,C O i,. CO-,.. M.,F: N CO 0 . . . 0,g,0 0 CC 0,0 0,0,Co 2
. 1 .,=,,,. 0 8,§,0 ..eF 0,,N,0 N 4 ..
Co N .T:,8 F.-4-,,8 .t:,- KE°,2 Co,Co 0.,Co,Co,2 9
CO N -,N . = N,,g,gM CO,0 N 4..i,0s00N000,Co Co,. N,2
Csi,0,gs,0 N L4 R,"P§P22r.118° 0 .1 . 0.- . . . N ,-,",R Lei',"Co9Co0© ,..",Co .0,N,"CO F,'J CD ."
N . CO LC Tr . N,U CC S <4,N W r .' -- - gitO0N,,"EM:124""°2 MMM .-",4 N,... 4 ..,Co CO ',CO . CO,"Co 0 ,-, 4"
m CO CO,1 .C.7 - =,,Co,CC N CO mr,,"i' . giC'S ,z",N,00 CO,0> N M
CC 3,CO c.L. i.,Co - .,"Co ,s:",Co 8° -,,Co 1 Co,Co . .,CC P,CC 2 a -
,g,"- , ,","- ,",,,. 0. m,Co,o7o',
P - -,03 t: N,'t.,"o -. , . ,",iggci CON,,momomNo -. N _ C o .7,", Co",o o,00 N .
. tl 2,- g,24R el■ N . 4-7;.:`6,. N,gME§EFX° aaa. - .,,'4°mAtZ7-:°2 N . 0 CO F:,"4 '-2 v,",a 2.,m Lc t-. .. N
.,° - §,ggg'i AP4':.',"4 -7 ,","0 . 0 00.0 flppis04. ...,.. -",",-1 R 4-",,"C. % §,'",,2 - g
2 0 E o t,"i1 , a 5 - 12 E g 0;1 E 2 g ' 6 22.2 g nn 222- """" C >>>> > orDoo2EE >",,,"411.4i1,W n › > -",° g p,"Tc5n10.-6 b "",""5 I b"" 0000420 uouYYuYY'A'5-2' 4-4.1-1a4-4ag] >>>>>>>>>-> oc0000000ao",g I > I,§ go' g w t,g °
