row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,242,100.0,91,37.6,148,61.2,3,1.2
By type of case:,,,,,,,,
RC cases...................................................,208,100.0,82,39.4,123,59.1,3,1.4
RMcases..................................................,4,100.0,1,25.0,3,75.0,0,0.0
RD cases...................................................,30,100.0,8,26.7,22,73.3,0,0.0
By type of election:,,,,,,,,
Consent elections.....................................,1,100.0,0,0.0,1,100.0,0,0.0
Stipulated elections..................................,112,100.0,27,24.1,82,73.2,3,2.7
Expedited elections..................................,1,100.0,0,0.0,1,100.0,0,0.0
Regional Director-directed elections.......,128,100.0,64,50.0,64,50.0,0,0.0
Board-directed elections..........................,0,0.0,0,0.0,0,0.0,0,0.0
