row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,163,100.0,50,30.7,109,66.9,4,2.5
By type of case:,,,,,,,,
RC cases...............................................,133,100.0,46,34.6,84,63.2,3,2.3
RMcases..............................................,1,100.0,0,0.0,1,100.0,0,0.0
RD cases...............................................,29,100.0,4,13.8,24,82.8,1,3.4
By type of election:,,,,,,,,
Consent elections..................................,3,100.0,1,33.3,2,66.7,0,0.0
Stipulated elections..............................,92,100.0,27,29.3,63,68.5,2,2.2
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,68,100.0,22,32.4,44,64.7,2,2.9
Board-directed elections.......................,0,0.0,0,0.0,0,0.0,0,0.0
