row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elec- tion,75,100.0,28,37.3,47,62.7,24,32.0
By type of case.,,,,,,,,
RC cases,64,100.0,24,375,40,62.5,21,32.8
RMcases . ........... .........,3,100.0,1,33.3,2,66.7,1,33.3
RD cases,8,100.0,3,37.5,5,62.5,2,25.0
By type of election:,,,,,,,,
Consent elections,0,,0,,0,,0,
Stipulated elections,61,100.0,26,42.6,35,57.4,22,36.1
Expedited elections,1,100.0,0,,1,100.0,0,
Regional Director-directed elections,13,100.0,2,15.4,11,846,2,15.4
Board-directed elections,0,,0,,0,,0,
