row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1-9,11 20,10 9,14 3,0,.0,0,9,122
10-19,,19 8,28 6,1,10 0,o,15,20 3
20-29,' 14,13 8,0,1,10 0,.0,13,17 5
30-39,' 13,12 8,28 6,1,10 0,.0,8,10 8
40-49,11,10 9,21 4,0,0,.0,8,10 8
50-59,3,3 0,.0,1,10 0,.0,2,2 7
60-69,4,40,.0,0,o,334,3,4 1
70-79,4,4 0,.0,2,20 0,0,2,2 7
80-89,5,4 9,7 1,0,.0,33 3,3,4 1
90-99,2,2 0,0,o,.o,0,2,2 7
100-149,4,4 0,0,0,0,33 3,3,4 1
150-199,4,4 0,.o,o,o,0,4,54
200-299,2,20,.0,2,200,o,o,0
300-399,1,9,.0,0,.0,o,1,1 3
400 and over,3,3.0,.0,2,20 0,. 0,1,13
