row_label,col_1,col_2,col_3,col_4,col_5
"Cases pending July 1, 1941",3635,1545,1644,255,193
Cases received July 1941-June 1942,10977,4787,4023,775,501
Cases on docket July 1941-June 1042,14612,6332,6566,1030,694
Cases closed July 1941-June 1942,11741,5215,5151,821,562
"Cases pending June 30, 1942",2871,1117,1415,209,132
,Unfair labor practice cases,Unfair labor practice cases,Unfair labor practice cases,Unfair labor practice cases,Unfair labor practice cases
"Cases pending July 1, 1441",2269,901,1142,57,171
Cases received July 1941-June 1942,4067,2178,2108,180,417
Cases on docket July 1941-June 1942,7236,3079,3340,237,588
Cases closed July 1941-June 1942,5456,2402,2428,162,470
"Cases pending June 30, 1942",1760,677,912,75,118
,Representation cases,Representation cases,Representation cases,Representation cases,Representation cases
"Cases pending July 1, 1941",1366,644,502,198,22
Cases received July 1941-June 1942,6010,2609,2724,595,84
Cases on docket July 1941-June 1942,7376,3253,3226,793,106
Cases closed July 1941-June 1942,6285,2813,2723,659,92
"Cases pending June 30, 1942",1091,440,503,134,14
