row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,18,100.0,10,55.6,8,44.4,10,55.6
By type of case:,,,,,,,,
RC cases..............................................,16,100.0,9,56.3,7,43.8,10,62.5
RMcases..............................................,0,0.0,0,0.0,0,0.0,0,0.0
RD cases..............................................,2,100.0,1,50.0,1,50.0,0,0.0
By type of election:,,,,,,,,
Consent elections..................................,1,100.0,1,100.0,0,0.0,0,0.0
Stipulated elections..............................,11,100.0,4,36.4,7,63.6,6,54.5
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,6,100.0,5,83.3,1,16.7,4,66.7
Board-directed elections......................,0,0.0,0,0.0,0,0.0,0,0.0
