row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
Fe,PI 5131,.......m.,m,e s ..,s,00 .s ..... .,. za,
Fe,ijill azg,,,,N,0000,0,"000000,0"
Fe,li,"./,.-oe.a.ogg",g,w svmo,m V.,°mem VI el,v :2,"ovIono,oca el .• N"
Fe,&..1 <L)1,"""npfisp",g elL -,PMA8 **IN.-.,n n -,"0c R""A ... m","2 ,..",cla c ' e As4*
Fe,],"""""'Agi""fteVA -1....-.M,718",g .,,Zi _,... i.',,"...,.. .. .. N"
3 1.1 A 2 O'Sba Em>.,3 1.1 A 2 O'Sba Em>.,"""mArAila .","A ,,",0- Eg .. .. . 7 .t W1 ..,§ a,".3746'. ch .. ., a",S yt m,VO■M M Sy .-.N§m .. .. el el
il5itil Z 2 • 2,il5itil Z 2 • 2,"g;vingsnf,14x 1 en .. r • el .","il ,","g § gr .: •-■ (4 . ,0 . 4 . ..",2 wi,"pin§ .-r"" NI",x 4:,"nasemps - el tl,"
.g 01 S ra i d g pf E,.g 01 S ra i d g pf E,ftemomm*e.i...o,m,ra.m-,g,na.-..g,A,*NOVetmel
"41. I v • Bsi 14 a F."" •4°S",1 I 1 Yi,0000000.-o,,c2-.00,,"000,1 .",,000.-.000
"41. I v • Bsi 14 a F."" •4°S",all a a,000000000,0,0000,0,0000,0,0000000
"41. I v • Bsi 14 a F."" •4°S",li,0000..-o--,,NNO0,,0..00,,0.-.000.-*0
"41. I v • Bsi 14 a F."" •4°S","&,:g","00.-.m00.-'0c.,",m -,.-. t .. .■,so,m0 .-.m,N,"eqm04.4.-,m o"
"41. I v • Bsi 14 a F."" •4°S",3,,,,,,,
,,"""N_. '.'.",_ *,0._m •-••-....,m en,m. m. N,N m,W00e./eleTN
1 Z CI3 1 4,A A a S S I • 11A ° .4( 1.11..4 t ?+.R.a..tali 1 a 2IM>M6M,,,; De i ll.. R. tBil mE-4,S A 7 A M,"ill i .3,0EL)",S € 0 a 1 3,8 01 i b 2 SPItli X.. Z
