row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elec- tions,92,100 0,39,42 4,53,57 6,35,38 0
By type of case,,,,,,,,
RC cases,81,100 0,35,432,46,568,32,395
RM cases,5,100 0,1,200,4,800,1,200
RD cases,6,100 0,3,500,3,500,2,333
By type of election,,,,,,,,
Consent elections,1,100 0,0,0 0,1,1000,0,0 0
Stipulated elections,77,100 0,32,41 6,45,58 4,33,42 9
Expedited elections,0,,0,,0,,0,
Regional director-directed elections,13,1000,6,46 2,7,53 8,2,154
Board-directed elections,1,1000,1,100 0,0,0 0,0,
