row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,Ill,"°28-""°°22 N■ N.-.",F. .-,•-■ REV,n,e o e R _,"§ ,",°RRMIR°°
,I111,"o.-op,ggoo*m",§,.nopa,R,°ego,g,vog.nomo
,li F,n%-lnEtan,P,mAan,E,2.23,E,2R°S2AS
,g44 c'P,"=.1GMERVIF , a - 4.:",6 a,RREE .:4-:a,t a,.5. 1FE .: 4,"z "" . 4","2""""EP ."
,i 1-.,glAim.FFIF. a-a aa,A 4 ..,"g iE,1 aa..",F - ..,EEAR - ei,E 4,REHM -
,1111 F>,"ARA""."""" a m.44- 7 44",A a ri,"R§§ ,1 * aaa",3 g,HER 4 .ar:,e 4,EFF8EE5 4-74
"i t . 1,41 1 z11,12","i t . 1,41 1 z11,12",RifEMER 4 44r..r. 4,F. g,REt3 4444,I *,EFFR a -a,R m,nii§60 .-: aaa
)1 i gtvolsilf,)1 i gtvolsilf,"*W^2A2'""AS",,.122 m,2,"""m2",,
,1 ill,Om..0■00NN,0.,"■*,00",■ ..,0..00 ..,■ ...,O--.N-00
,/41,0■0■1400....,4),■00..,N,0000,0,000..000
,li,"_,... ..... *",g,vveam,g,",*,c.",",",N.-.o.nrasom
,F 01,"0'.....4mvp. ... ,..",m _,"0,1Xm",g,.0..f . p.,g,",cm.-wlvA.-."
,I F,"'22R""22",3,"AMM""",,-24,2,"""""='42'2'"
,bi 1 A 1 I i,.0:vi-.9**.A.412 i i A P 8 .. .. ii ii ii ii ii ii ii ii ii ii,r 2 i 4,22P2,2 ] S o A,ME11742,S 1 (5 I,"22""2242"
