row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
48 4 . g''tg.% EE.c.71g E ',o .t,-0-0..,Co,,in,00=00,M,"00410.--,0,0,",","
"it""1 04,s1Q",al 0,0-=000,0,04c1R10,8,- -2 0-,2,0001-0000,P.
1 S .71 5 C % E P.,a,,a,"-,.",v,,,wgggmemg,F.
1 S .71 5 C % E P.,a,""".A.N-",A,. AA m-,",",00001,04,-101 .2 00100-,2
1 S .71 5 C % E P.,0 w,'v-:4p4,R,'5ig p,,"21,15,P",§,"!=.2W4S,P,V2",§ ..:
1 S .71 5 C % E P.,wi,9.GFA,§,zIgEp,g,"43,qp","._,",".;111n,47,",
,0.0,"000,.,M",0,003g0-1,g,"0.4-,",a,4 -0404--0.,n
1 g: t E AA0 i l,0 0,04004000,",","01411,-.0",n,0-.-.,,,
1 g: t E AA0 i l,W 0,,",-",,m,--200,2,0.-.000000,",-."
1 g: t E AA0 i l,a 0,",,K,VM",7.1,0n400,g,".7,-'%m,c1",z,"c000-,000.",2
1 g: t E AA0 i l,0,"w44,on)",s,28000.,1..,0..01,2,"CIM,,,N.,CT,",
1 g: t E AA0 i l,o,"0gIQN0kx?,",",.",",CM0,",,Wpg8,g,PF-Ig '4.7 .32.5,".,0,9"
1 g: t E AA0 i l,a 0,PP':i 8,g,/HP ..4,E C.,"L .'inF, .",i- ':,iiiMMAi,
1 g: t E AA0 i l,(.q = a Q V,"R 2 ""E''' -z",A' 04,"iligF, ,;oi",R 10,MR§ 04,"P. ,",iggiTan,E
"A C.,","A C.,",Will.P.,§,"4§nR2 ..,';",,HAis-9§,"t. ,","ViAgUE§ _,"", .""",n CO
1 C5f C4 3 '13 r.. d •E (73,1 C5f C4 3 '13 r.. d •E (73,"ca 1-217 V, 1 g-A , .co4V t.F.0 2.5. ow-g=g 0xzw›.",".. 5 ,a , g","v, ,,, ,'.. s'E.,°,W4 .-oc .nAE° 04z,,.>",:-] g a P'4',"..0 E ,g. 5 c) g - . a o,,,, tg7;5> tlik 4xgt'S3",.' c g a w W,"gg 01 gAcITOd -A5-lit=5 ac,cSazuSg",> .. g E0 w
