row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
Totals-all types,36,28,8,11,10,1,25,18,7
NLRB-initiated actions,10,9,1,4,4,0,6,5,1
To enforce subpena To restrain dis.ipation of assets by respondent,4,3,1,1,1,0,3,2,1
,2 1,2 1,0 0,2,2,0,0,0,0
To defend Board's jurisdiction Other,3,3,0,0 1,0 1,0 0,1 2,1 2,0 0
Action by other parties,26,19,7,7,6,1,19,13,6
To restrain NLRB from,17,11,6,1,1,0,16,10,6
Proceeding in R case Proceeding in unfair labor practice case,14 3,10 1,4,1,1,0,13,9 1,4 2
Proceeding in backpay case,0,0,2 0,0 0,0 0,0 0,3 0,0,0
Other,0,0,0,0,0,0,0,0,0
To compel NLRB to,9,8,1,6,5,1,3,3,0
Issue complaint,3 0,3,0,3,3,0,0,0,0
Seek injunction,,0,0,0,0,0,0,0,0
Take action in R case,3 3,3 2,0 1,1 2,1,0,2 1,2 1,0 0
Other,,,,,1,1,,,
