row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,251,100.0,114,45.4,127,50.6,9,3.6
By type of case:,,,,,,,,
RC cases...............................................,229,100.0,108,47.2,111,48.5,9,3.9
RMcases..............................................,1,100.0,1,100.0,0,0.0,0,0.0
RD cases...............................................,21,100.0,5,23.8,16,76.2,0,0.0
By type of election:,,,,,,,,
Consent elections..................................,1,100.0,1,100.0,0,0.0,0,0.0
Stipulated elections..............................,122,100.0,46,37.7,73,59.8,3,2.5
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,128,100.0,67,52.3,54,42.2,6,4.7
Board-directed elections.......................,0,0.0,0,0.0,0,0.0,0,0.0
