row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
m m,MRtV.tcn:=4,m 5,888,R,"',' ...",':. 8,Mtt'att88'.7.;,8
E,"5cA85=1.-.,.2",,,R,5'NSRR,m,".--.v.,...5....-",".. I"""
"fr,","C,N,COMCTICDCOOP.",&,12 o-m,,co-...,E,...10......,
,AW-4....M,N M,. 0-4.0,,"....,...Z",,8.4...NOWO,M .
CO,00.00.0.,,000.,M,00.A,M,01'00.00.0,Co
.,...A.m..,A,.0.0,m,.ONN,A,.000NNWAN,W
R .,t:D'58-15,R,88,.. A A•,". N <A A 1-, a, CD 00",V ■.1,V'at!D&W,Z
CD 01 8,"30 N ■-, .-• 0101-011 .. cO8 c 4 gs. --2d",- p ■-•,"-,..mw co ot ""-al> gg4 ,1gg",- m co l o ce,"....m--,p. -,.. co 10 2 F.2",".,:. .., :1:. CO","., cAm.Npmc, CO.-, - 01 - 011,-m,- . 1c 'a.■Vo' c.;•2","F+ m 1::, ... CC"
m -4. 'N'S,"m .-,-,-, 14,-0,1.' 14 -' 01 N5828R2K",.... w 01 2,"01,-..pow -m-c4c.... 2288","... CC -c, 8",.....9'.. 14-4.N1N ARt8,m m -.N 8,"cnp.N0, m.-. ,.,-00.8-.-. RNDND.--000.",CC
8,bta. 88i.-' DRRKR,g,CO P .-..-. :F2'51ot,".-,",.!-.5 . .!-,",-, CO K","IV j.2 .■-■ j•D CO ... 85tm56.-c,-,o",.5. E
R,"m 288.--.,t8",14 m w,los.-4w .-11....4 0...mal,-.P. 1- . N,"4,.-0 -.1.• 00 ..","_ .5_,:' .. r■ . .","-E2 I-1-'-.- P,s-. . En-5 .. -1 1-• Co W",1.
et,"RE2ssnsc7,. ..1",s .',Er... ...'..,t,Cp A. 2R88,to,"2 CD ts2 C°.'8 '-' es,..01w1vmmw-1",0 cn
--.1,....7.oEoog,m .,".,:. m-mm",CO Y. ..4,"1..., ■-• CD al C ■ e7 CD N",", ...I",".. co-41-, t.ig Om 0",co
R CD,"5 =.-' ,. -4 <0 0 . Crt Crt CD ■-• -7",,00CCO,..... el,0 EU,. 5,8 cn0004TtEE',<0 40 C.
0. - Na 2,".., ... ■-,.4.w..-1 -8 82c3,85tTE",-I -co,_co •-• ... 4m-w1.1,"S.. 4,-",!-PP cr..-.K..,,"WW1..5.S. .. c.n.N.-. W"" Ez.ait -",-a 8 ....
1 . - R w,"!--' I, 8=1E8....,-,2 mmai.-..-...au",CO -oo m,"..• 146D-lo, 22R2",8 m,"W... t2=4:2 .m4,,",P . 2,-olsloa.moorm N=18.1T;28 88,"S, m"
