row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elec- tions,68,100.0,17,25.0,51,75.0,18,26.5
By type of case*,,,,,,,,
RC cases,59,100.0,12,20.3,47,79.7,15,25.4
RMcases,7,100.0,4,57.1,3,42.9,2,28.6
RD cases,2,100.0,1,50.0,1,50.0,1,500
By type of election,,,,,,,,
Consent elections,2,"100.0,",1,500,1,50.0,1,50.0
Stipulated elections . . ..,55,100 0,13,23.6,42,76.4,11,200
Expedited elections .. ......,0,,0,,0,,0,
Regional Director-directed elections .. .. ....... ..,11,100 0,3,27.3,8,72.7,6,54.5
Board-directed elecdons,0,,0,,0,,0,
