row_label,col_1,col_2,col_3,col_4,col_5
1935,,,,,
Dctober,203,169,79,L20,2.57
govember,153,119,50,1.29,3.06
December,110,80,33,1.38,3.33
1936,,,,,
Total,1301,1951,949,.67,1.37
ranuary,110,138,64,.80,1.72
February,66,132,75,. 50,.33
%larch,90,168,79,. 54,1.14
k.pril,142,158,75,.90,1.89
1{ay,108,188,74,.57,1.46
lune,sa,168,89,.51,.97
"rub,",74,144,71,. 51,1.04
kugust,112,211,106,. 53,1.06
ieptember,150,209,95,.72,1.53
Dctober,147,175,87,.84,1.69
qovember,83,131,63,.67,1.29
December,128,129,66,. 90,L 94
1937,,,,,
Total,9.425,4270,2293,2.21,4.11
armary,110,160,79,.69,1.39
i 'ebruary,195,199,108,.98,1.81
vlarch,239,581,279,. 41,.86
Lpril,477,490,271,.97,1.76
day,1054,532,265,2.00,4.02
une,1233,552,301,2.32,4.26
uly,1325,400,250,3.31,5.30
Lugust,1119,400,226,2.80,4.95
.eptember,994,321,186,3.10,5.34
)ctober,1054,278,157,3.70,6.71
gevember,959,232,117,4.13,8.29
December,606,125,54,4.85,11.22
