row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,254,100 0,110,433,134,528,10,39
By type of case,,,,,,,,
RC cases,239,100 0,107,44 8,", 122",51 0,10,4 2
FIM cases,2,100 0,0,,2,100 0,0,
RD cases,13,100 0,3,231,10,769,0,
By type of election •,,,,,,,,
Consent elections,0,,0,,0,,0,
Stipulated elections,213,1000,92,43 2,113,53 1,8,3 7
Expedited elections,0,,0,,0,,0,
Regional Director-directed elections,41,100 0,18,439,21,51 2,2,49
Board-directed elections,0,,0,,0,,0,
