row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections.......................,25,100.0,7,28.0,18,72.0,6,24.0
By type of case:,,,,,,,,
RC cases................................................,22,100.0,6,27.3,16,72.7,5,22.7
RMcases...............................................,0,0.0,0,0.0,0,0.0,0,0.0
RD cases...............................................,3,100.0,1,33.3,2,66.7,1,33.3
By type of election:,,,,,,,,
Consent elections..................................,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections...............................,17,100.0,4,23.5,13,76.5,3,17.6
Expedited elections...............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,8,100.0,3,37.5,5,62.5,3,37.5
Board-directed elections.......................,0,0.0,0,0.0,0,0.0,0,0.0
