row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
"ligs t.,..ti","ligs t.,..ti",P°A4,.1,! gmme .,k,,,R
mv A g .,g i,"000,1",Fi.,00%000,%,00,0,.1
mv A g .,Is 2 s 8in,0000,0,00000,A,CO,0,E
mv A g .,itsi,VOr■O c c,R,g g rA 0,,m0,in,in a
mv A g .,1,"gop,;. .",E,mmAo,2 W..,mom,,"i , - 7"
Bp'-',Bp'-',.-6°G0,i,§GEMR° rt,g 2,S. 40Li,,sl; .6
A i m geg.a. itX.i51,A i m geg.a. itX.i51,rzecric:,R .,"gg.,.0,n. .0 . i.t","§ ,..r",r--,r.,zi m -.
lislopi,lislopi,-.00,N,NmAmm o,in,-.0,,n ...
2tilaiii 1 §11,2tilaiii 1 §11,0000,0,00...000,.■.,OC,0,t...
iii ..: b 8 i.,eg,0000,0,0..0000,,oo,o,in
iii ..: b 8 i.,11 r.sog,"""0_0",,"...."",...",A,00,0,.t.4
iii ..: b 8 i.,/,NO..0,V,1...MV .2000,A,CO,0,
il,il,CO.-.■,": 0 ,",VCSICCO,g,-o-,,§
.1 I 8 4 a,1 Z i tilt,,1 X,"M 18 1 §, ' 1A1",M,11 ia Mg,i 2,i 1 g a 1
