row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representations elections,1322,100 0,366,27 7,920,69.6,36,2.7
By type of case,,,,,,,,
RC cases,1246,100.0,357,28.7,860,69 0,29,2.3
RM cases,49,100 0,7,14 3,36,73 5,6,12.2
RD cases,27,100 0,2,7.4,24,88.9,1,3.7
By type of election,,,,,,,,
Consent elections,224,100.0,51,22 8,170,75.9,3,1 3
Stipulated elections,662,100 0,204,30.8,439,66 3,19,2.9
Expedited elections,4,100.0,0,,4,100.0,0,
Regional director-directed elections,411,100.0,108,26.3,290,70.5,13,3.2
Board-directed elections,21,100 0,3,14 3,17,81 0,1,4 7
