row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
35-CC-62_ __,"Inc ) Bridge, Structural Iron Wkrs., Local 103 (Associated Building Contractors","July 22, 1959",(I),,,,"Jan. 15, 1960",Settled
4-CD-40_ ___,"of Evansville, Inc ) *Teamsters, Locals 107 &929 (Food Producers Council)","July 22, 1959",(1),,,"Aug 10, 1959","May 6, 1960","Mar. 3, 1960"
11-CC-17___,"*Tearnsters, Locals 71 &509 (New Dixie Lines, Inc ).","July 23, 1959",(I),,,"Aug. 4, 1959",,"Feb 3, 1960"
12-CD-6_ ___,"Lathers, Local 59 and Jacksonville Building & Construction Trades Council et al (Jacksonville Tile Co )","July 28, 1959",(1),,,"Aug 1, 1959","Mar 17, 1960","Nov. 13, 1959"
21-CC-329_ _,Los Angeles Dist Council of Carpenters,"July 31, 1959",(1),,,(0,"Mar 29, 1960","Feb 12, 1960"
18-CC-69___,"et al (R S Franke, Mfg Co) St Paul Building &ConstructionCoun-","July 31, 1959",(1),,,"Aug. 10, 1959","Jan 12, 1960","Dec 22, 1959"
1-CC-233,"cil and Roofers Local 96 (Walter D. Giertsen, Co ) *Teamsters, Local 677 (Sega Sand &","Aug 4, 1959",(1),,,,"Jan. 15, 1960",Settled
5-CC-114_ __,"Gravel, Inc ). Wilmington Building & Construction","Aug. 4, 1959",(1),,,"Sept. 11,1959",,"Feb 15, 1960"
10-CC-428_ _,"Trades Council (James H. Wood) *Teamsters, Locals 728 &509 (Jocie Motor Lines, Inc ).","Aug 4, 1959 Aug 6, 1959",(1) (1),,,"Aug. 14, 1959 Aug. 13, 1959",Feb 23 1960,"Dec 11, 1959"
22-CC-69_ .. 2-CC-517_,"Chemical Workers, Local 434 (Charles Sunkin &Sons) *Longshoremen, Intl. Assn. &Local","Aug. 7, 1959",(1),"Aug. 7, 1959","Oct. 27, 1959","Oct 27, 1959",,"May 26, 1960"
2-CC-518___,1814 (American Sugar Refining Co ). Steel Workers and Local 4355 (Phelps,"Aug 10, 1959",(1),"Aug 10, 1959","Sept. 29, 1959","Sept. 29, 1959",,"Mar. 13, 1960"
35-CC-64,"Dodge Refining Co ). Hod Carriers, Local 510 et al. (Irmscher","Aug. 12, 1959",(1),,,(0,"Nov 6, 1959",Settled
2-CC-515__ _,"&Sons, Inc ) Engineers, Operating, Local 138 & *Teamsters, Local 282 &Hod Carriers Local 1298 (Welch Asphalt Co.)","Aug. 21, 1959",(1),,,"Oct. 1, 1959",,Withdrawn
24-CC-64_ _ _,*Union de Trabajadores de la Gonzalez,"Aug. 25,1959",(1),,,(I),,"Dec 11, 1959"
19-C C-127 _ _,"(Gonzalez Chemical Industries Inc ) Electrical Workers, Local 77 (J. A. Jones","Aug. 27, 1959",(1),,,(I),"Feb. 18, 1960","Dec. 11, 1959"
6-CD-106_,"Construction Co ) Hod Carriers, Local 1149 &Operating Engineers, Locals 132A, 13213, 132C (Lang Mothers)","Aug. 28, 1959",(1),,,"Sept 10, 1959","Mar 24, 1960","Dec 15, 1959"
"23-CD-39,","*Longshoremen, Intl. Assn , Local 1692 et al (T & R Contractors, Inc ).","Sept 1, 1959",(I),"Sept. 12, 1959",,,,"June 29, 1960"
23-CC-63 2-CC-523___,Building Service Employees Local 32-j,"Sept. 4, 1959",(1),,,"Dec. 12, 1959",,"Apr. 5, 1960"
18-CC-72___,"(Hewitt-Robbins Inc ) Steel Workers of America, United (Pittsburgh Pacific Co , &Johnson& Muru).","Sept. 4, 1959",(1),,,"Sept 16, 1959","Dec. 15, 1959",Withdrawn
