row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,271,100.0,97,35.8,167,61.6,6,2.2
By type of case:,,,,,,,,
RC cases...............................................,239,100.0,93,38.9,141,59.0,4,1.7
RMcases..............................................,3,100.0,0,0.0,3,100.0,0,0.0
RD cases...............................................,29,100.0,4,13.8,23,79.3,2,6.9
By type of election:,,,,,,,,
Consent elections..................................,1,100.0,0,0.0,1,100.0,0,0.0
Stipulated elections..............................,143,100.0,36,25.2,104,72.7,3,2.1
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,127,100.0,61,48.0,62,48.8,3,2.4
Board-directed elections.......................,0,0.0,0,0.0,0,0.0,0,0.0
