row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections_ _ _,129,100 0,42,32 6,87,67.4,34,26.4
By type of case,,,,,,,,
RC cases,120,100 0,42,35 0,78,65 0,33,27.5
RM cases,3,100 0,0,,3,100 0,1,33.3
RD cases,6,100 0,0,,6,100 0,0,
By type of election,,,,,,,,
Consent elections,6,100 0,2,33 3,4,66.7,2,33 3
Stipulated elections,90,100.0,31,34 4,59,6.5.6,25,27.8
Expedited elections,0,,0,,0,,0,
Regional director-directed elec- tions,30,100 0,8,26.7,22,73.3,6,20 0
Board-directed elections,3,100.0,1,33 3,2,66.7,1,33.3
