row_label,col_1,col_2,col_3,col_4,col_5
09-CC-174 2I-CC-524____,"10(1) 8(b)(4)(A) Associated Contractors of Essex County E. 7. Gund Associates, Inc 8(0 (4)( B)","Carpenters of Essex County and Vicinity Bakery Workers, Local 37",X,X,
01-CC-368____ 19-CC-212__,"Anopolsky &Sons, Inc Billings Contractors Council__",", Teamsters, Local 559* Bridge Structural Iron Local 167.",X,,X
26-CC-61 l5-CC--l8L,"Braswell Freight Lines, Inc Brownfield Electric, Inc","Teamsters; Local 667* Electrical Workers, IREW, Local 861.",X X,,
10-CC-510____ 22-CC-191____,"Brown Transport Corp William J. Burns Detective Agency, Inc","Teamsters, Local 728* Teamsters, Local 254*",X X,,
01-CC-360__ 16-CC-141____ 36-CC-096__,"Williams, Burt P Byrne, Thomas S , Inc Cascade Employers Associa- tion","Brewery Workers, Local 8 Painters, Local 1905 Teamsters, Local 324",X X,X,
12-CC-260_,Center Plumbing &Heating Co,"Plumbers, Local 519",X,X,
13-CC-320____,Chicago &Illinois Midland Railway Co.,"Marine Engineers, Local 25_",X,X,
03-CC-179_ 13-CC-350___ 12-CC-258,Colony Liquor Distributors Continental Grain Co Dade Sound &Controls,"Teamsters, Local 445 Seafarers, Local 418 Electrical Workers, IBEW, Local 349",X X X X,X,
02-CC-176__ 01-CC-359___ 15-CC-163__,"Dierick Vending Co Inc , J C. Driscoll Transportation Co. Evans Cooperage Co Fairway Forms, Inc","Teamsters, Local 575* Teamsters, Local 25* Steelworkers, Union",X X X,X,
03-CC-175____ 12-CC-253____,"Florida Weather, Inc","Teamsters, Local 584 and 182*_ Sheet Metal Workers, Local 435",X,X,
21-CC-568____ 04-CC-245 02-CC-770____ 12-CC-263____,"Golding &Jones, Inc Haddon Craftsmen, Inc Sid llarvey Westchester Corp L &MElectric Co , Inc","Painters, Local 1232 Printing Pressmen, Local 119__ Teamsters, Local 456* Electrical Workers, IBEW, Local 861",X X X X,X,
22-CC-185____ 02-CC-751____ 15-CC-l54____,J A LaRocca Bros Maffucci Storage Corp Olin Matfficson Chemical,"Electrical Workers, TUE, Local 104",X,X X,
02-CC-744____ 12-CC-252__,Corp Joseph J. Meyer Bros National Aeronautics and Space Administration,"Teamsters, Local 814* Pulp, Sulphite Workers, Local 806 Teamsters, Local 814*",X X,X X,
19-CC-209____,Northwestern Construction of Wash,"Carpenters, Local 1510 Plumbers, Local 44",,X X,X
04-CC-216 52-CC-800__ 22-CC-183,"Tim O'Connell &Sons Old Dutch Farms, Inc Henry Rosenfeld, Inc , et al__","Building & Construction Trades Council Teamsters, Local 584* Ladies Garment Workers,",X X,,X
07-CC-221____,National Dairy Products,"Local 102. Retail Wholesale Employees, Local 83",X,,
08-CD-166____,"Corp S. Simon Construction Co ,","Electrical Workers, MEW, Local 38 Construction,",X,,
00-CC-292,et al Bryan II Spaite &Son,Building &,X,,
11-CC-30,Standard Fruit &Steamship,"Trades Council ILA, • Locals, 1422 and 1771____",X,,
02-CC-77O__,Co Summit Construction Co,"Sheet Metal Workers, Local 28",X,,
11-CC-31 14-CC-21.19__,United Fruit Co United Nuclear Corp,"ILA, Local 1429 Independent Union of Chem- ical Workers *",X X,,
0l-CC-364__,University Cleaning Corp,"Building Service Employees, Local 254",X,,
02-CC-761_ 08-CC-181____,Ward Baking CO E Wells Electrical Construe- lion Co,"Bakery Workers, Local 50_____ Electrical Workers, 1B EW, Local 38",X,,X
