row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1936-45,32512,90.4,3472,9.6,"'27,652",72.6,10420,27.4
1936,531,83.5,105,16.6,90,88.2,12,11.8
1937,1668,94.7,94,5.3,506,86.9,76,13.1
1938,5487,96.4,207,3.6,2555,80.9,602,19.1
1939,3833,90.6,397,9.4,1701,72.7,638,27.3
1940,4132,88.6,532,11.4,1968,73.4,724,26.9
1941,4240,90.3,458,9.7,2874,77.7,824,22.3
1942,5015,91.9,441,8.1,4875,77.6,1410,22.4
1943,3308,65.8,641,14.2,4294,72.4,1634,27.6
1944,2276,84.7,411,15.3,4353,66.9,2154,33.1
1945,2022,87.6,286,12.4,4438,65.4,2346,34.6
