row_label,col_1,col_2,col_3,col_4,col_5
Cases on docket during the year,8703,,,100.0,100.0
Total number of cases closed,6784,100.0,100.0,78.0,78.0
"Before formal action, total",4438,65.4,65.4,51.0,51.0
Adjusted,3042,44.9,44.9,34.9,34.9
Recognition,186,2.8,2.8,2.1,2.1
Consent election,2409,35.5,35.5,27.7,27.7
Cross-checks,447,6.6,6.6,5.1,5.1
Withdrawn,945,13.9,13.9,10.9,10.9
Dismissed,450,6.6,6.6,5.2,5.2
Otherwise,1,(1),(1),(1),(1)
,2346,34.6,34.6,27.0,27.0
"action, total",96,1.4,1.4,1.1,1.1
,55,0.8,0.8,,0.6
,1,(0,,,
Adjusted Recognition,Adjusted Recognition,0.8,,0.6,
Consent election Cross-check,52 2,(0,,,
Withdrawn,35,,0.5,,0.4
Dismissed,6,,0.1,0.,1
