row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,1095,100.0,391,35.7,682,62.3,22,2.0
By type of case,,,,,,,,
RC cases,1007,100.0,373,37.0,619,61.5,15,1.5
EM cases,58,100 0,12,20.7,43,74.1,3,5.2
RD cases,30,100 0,6,20.0,20,66.7,4,13.3
By type of election,,,,,,,,
Consent elections,118,100.0,41,347,74,62.7,3,26
Stipulated elections,668,100.0,232,34.7,425,636,11,17
Expedited elections,6,100 0,1,10.7,5,833,0,
Regional director-directed elec- tions,287,100.0,112,390,168,58.5,7,25
Board-directed elections,16,100 0,5,31 3,10,62.5,1,6.2
