row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
010,0 0,",4,4ogeum",g,vg,,"I: go , g4n",,n .0.-,"' . 1 ....""."
"... TIO4cm =....-40d5 g,q 10",0 '4,,,N■O.,W,ONtONN,N .,00.000.,N 00N.0
8 .:-.82 E829 Av.:1,q,M.-.01-...2,g,gml,8,"2222,0",2,"c.0.0oo.,,,",2 mcqoc.
"9, 0 4a' § w g",14,,7.0,"g ',Z,",g,p Aegm,E,,",.."
"9, 0 4a' § w g",g,N...ogop.o.,g,"gg ,.","s ,.,","gmw42 ,.",g ...,",0 22.,0cq.0",g cqmmmm
"9, 0 4a' § w g",C.),tZAR§Re .,"P ,0","ni,75 N",a,gFig c- WWN,g a,?xn-Fm5P.,"g 2p,F0"
"9, 0 4a' § w g",... I <4.,"A74'il2E""",E,Usl .4-,'F? a,Men,"R ,;.","Ti4 2. "" 3","q.,T.,HN"
"i a, ""14 0 .8 A ii .. 'P",a,-4.....,",,. .","nn,",R,2242 o,2,"cq,...2.m.o.","g m.ccqc,,,."
"i a, ""14 0 .8 A ii .. 'P",0 0,000e1.0.,Wi,"occa,",R,000.r.,",0",0..0000,cq .cqcq0.
"i a, ""14 0 .8 A ii .. 'P",W 0,0N0N00,", I ■",CMN,R,".sest , ON","V ,",ONNO00.,"LO 0,0.00"
"i a, ""14 0 .8 A ii .. 'P",M C.),000n...],g,"22z,",2,27=q0,s,.22ocq..0,"n .,--,"
"i a, ""14 0 .8 A ii .. 'P",U 0,'-'°22Cq,g,4Pc g . .,g,g >'34t. c 1,Fg,;-----,",731-:,.,---4 .-t"
"i a, ""14 0 .8 A ii .. 'P",pq C.),"87-"" I g:9-.",i,",4a .4",H a,HHE,a,"15r''""",1 '11428.= I
"i a, ""14 0 .8 A ii .. 'P",.1,"P g s- 7,:i",$,EH,,U§R g,,g P .8 E ...,§ WRR' a
"i a, ""14 0 .8 A ii .. 'P",uT,"' . "" . ARF,, .",g a,"el"" Hii -.■ oi",.6,V.-M g a 1-7 a v-i,":4, Cri","ii EiR 2; ' , n ,Z",Ci. t8 RHif -i I I
-4 = 1,-4 = 1,g E .P EI .4-,g a,R g R rr--7,e,"M.Ril' ,iw,i-a-r",R a,H.R. s2 nQ a,".,: § 8""icl; I"
"<.. 2 o 63 T, g -. ; -1=1","<.. 2 o 63 T, g -. ; -1=1","e., 7a a E °aE' o g or 4,0 -.- o g","41. ' A ,0 w 1 .",>i' . aag A44P-i,".11 ..,i","2;a_5f,g","7,! 0 = t 0 z","i',E§t-5..z .!. gg z .0. R m","7! 0 t o X T woo IP avg.,: A -,, 0 0 -E Eo Ei"
