row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
Total,1428,2302,1108,2018,430023,171441,85587,172995,385794
AFL-CIO,3165,1841,,1324,226821,102272,,124549,205217
Unaffiliated,1392,,801,591,40463,,21655,18808,36657
l-tuuon elections AFL-CIO v. AFL-CIO,209,159,,50,31497,15150,,16347,28745
AFL-CIO V. unaffiliated,529,270,219,40,107814,49312,53243,5259,94816
Unaffiliated v. unaffiliated,65,,65,0,4994,,4994,0,4568
l-union elections,,,,,,,,,
AFL-CIO v. AFL-CIO v. AFL-CIO,14,12,12,2,1531,1755,,176,1773
AFL-CIO v AFL-CIO v. unaffiliated,32,9,16,7,0754,1609,4394,751,6018
AFL-CIO v unaffiliated v. unaffiliated,9,2,4,3,1655,709,661,285,1565
Unaffiliated V. unaffiliated v. unaffiliated,1,,1,0,19,,19,0,16
1-union elections AFL-CIO v AFL-CIO v. AFL-CIO v. AFL-CIO,9,8,8,1,7124,304,,6820,5537
AFL-CIO v AFL-CIO V. unaffiliated v unaffiliated,2,0,2,0,621,0,621,0,560
5-union elections. AFL-CIO v. AFL-CIO v AFL-CIO V. AFL-CIO v. AFL-CIO :.,1,1,,0,330,330,,0,322
