row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
- A .8 I 1 I F- . e .,- A .8 I 1 I F- . e .,F4P=W - (4 7,6 .4,"FR = 3 . , ,nelv$",6 4,"HARE r ..e.iy.,1-.",F ;74,FFA E M -' N,"1 ,cs."
1 g i 1 .m >,Al] -1,"C'eC"":""DS",,2E§,g a,"4 4 "" / IPQ",4,ARA°°°°,fi'
1 g i 1 .m >,- ..al,r.1°°w°°,§,Ei2A,g,Pa g Ay ',E,A%=°°=°,2
1 g i 1 .m >,01,P s 4RE -.-.,f 4,"g U4 ,K,44","F. c .,",ro.aq WiNNV...,4 M,N M.-.Mt..N 0qA m PAP - a,"M 4 ',;"
1 g i 1 .m >,1 F,"F.'""Ei§ c4.-",g .1,"m 46m,,i",g 46,"4,i g u , vIN,4v-","k ,c)",AM -4R n .za,":. i . , ..■"
Mil 1-....,Mil 1-....,"i§ g VAE ,f aa",X 0,N Ap =,I R . g,"qicur 4 mmr-,,,m",1 A,"4... g .E 2 M -.,4,4 .;",g a
II i 11 I g 'a l'As,II i 11 I g 'a l'As,"rgg at g ,s4 a . ar;","§ ,","roAA .1 . 2 . n,",g .7;,AVRaE ■' ;:iecciri,R g,"uvRAE -7,4.; -",k *
lAstkiel 61181.P,lAstkiel 61181.P,"N -ow,.- A",s,riz!zi -. ...,= m,=4AL 1 4 -.,i,g R2-'2A,4
tl',tl',00000M,W,NN N ....,M M,WNW...0,V,.-.N.■0000,V
Pki 1 . AM,Pki 1 . AM,■00.-.00,N,NNW,g,WW.-.NV,WI,■N.■00.-.0,M
"111 IF° , , Sol El'=","111 IF° , , Sol El'=",VNNA*Qg,g,p iss,E,pp salz,R,"..,",
.§,.§,"""- N n-",P,A g a,A,674=a4,A,g AS- mvg,4
WI,WI,Nfl N0,4,AsE,I i,022§3,p .,Q 00 7r4N AP,A
i .1 S 1 ei,g 1 g a z,I I i zA>x - 1,,tll atl ZZ ' A,I i,o 21A-gm I .5 see a -.,6 1 z .. • I,liill .9.zol till 1,I 6 1 z V
