row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
vv0V.N00,,CO COO.,N,..00N,N,00.0,v,000000,0
vOON.0.0,M,"M...., v. v N","V ,",00NNN,=,00Nv v,"c .:,'",v.v...,","
"m 84 . 4,22.","2 --,","u, ,n ,n -. ,o,v ,-..,.=='n",",,, 4","V"" 9 R2","8 .-,","m,cw-.",8 v,NMNN.N mv,
..v01....,S,"4""-.RNW-1",,"WM..,",,.0v. vv,,",MVONN",0
1288R4m2 •-•,",-. 2","V.MvNV ;',-IRF-RN","V ,.-",4177nMe,"W ,-.","4""--"" .-.",".-. ,-.",4R''''R',"= ,.. .-,"
"""42nRq,1 .-.",", ,",", <7,00, CgCO V v V v V v",,"C.VNM. ,n,,,,,-, N","N ,n V","Nv., ,VON N",0,".C.,,0 GU V v N",R v
",00,0.0N",. v,0.00M0NN Mvv,C. W,"0,00.",CO,VOMO .-.,R,.-..--.000,co
".0-,...00",v,0000 COO,CO,00000,CO,0000,0,000000,0
0.v000v0,M,.0v .v.,CO,ON 000,N,v...,v,0v0000,v
0.vv.v0V,0 N,.clp.4mgv,8 v,",.. 0 0 .-. 0 .-.",,",,mv. c.,",R,Nv0000,CO
"OMN,00v0",,"M.v..M NNCON,v",,"voN,M N v",CO V,COUDV,R,.0.0-.0 -.,"m .-,"
g toFa88 r - r - NN v,". M ,",21V(P'3■M -5.. Vv,CO N .,"ON R84g-' .-,",2,2R88 m,,", -:•.'m c.,.-.",v v N
"n2V,, C'e",,"V.gvF0 ,NV M,","N , N",":!?,n-qg",,?AEI,,"vQ.0VN. 4m,-..","v m ,"
"giF2P8828 mb.dr-,,m.-..",g,",, VM. Nv v ,..i.",,228C:ii= v.v.MN,R,W4,g v,"...... -....,,-...-, CO.,","0 , ="
"'IE,Eigi.1","N , 0 V-","',8,T15j",",-. m","v..M0 At,TRA4",M 0,00v. -,"0 , N.",",N",M v
