row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,1281,100 0,631,41 5,718,66.0,32,2 6
By type of cue,,,,,,,,
RC cases,1161,100 0,502,432,638,550,21,1 8
RM cases,20,100 0,1,5 0,16,80.0,3,15 0
RD cases,100,100 0,28,280,64,640,8,80
By type of election.,,,,,,,,
Consent elections,29,100 0,7,24 1,19,65 6,3,10 3
Stipulated elections,914,1000,369,404,529,57.9,16,1 7
Expedited elections,6,100 0,2,40 0,3,60 0,o,o 0
Regional director-directed elections,322,100 0,152,47 2,158,49 1,12,3 7
Board-directed elections,11,100 0,1,9 1,9,81 8,1,9 I
